name,number,status
Data Class Transforms,681,Accepted
"Immortal Objects, Using a Fixed Refcount",683,Accepted
A Per-Interpreter GIL,684,Accepted
Arbitrary Literal String Type,675,Accepted
Self Type,673,Accepted
Marking Python base environments as “externally managed”,668,Accepted
Low Impact Monitoring for CPython,669,Accepted
Serve Distribution Metadata in the Simple Repository API,658,Accepted
Filename of a Source Distribution,625,Accepted
Marking individual TypedDict items as required or potentially-missing,655,Accepted
User-Defined Type Guards,647,Accepted
Deferred Evaluation Of Annotations Using Descriptors,649,Accepted
Variadic Generics,646,Accepted
Structural Pattern Matching: Specification,634,Accepted
New PEG parser for CPython,617,Accepted
Allow writing union types as,604,Accepted
Support for the IANA Time Zone Database in the Standard Library,615,Accepted
Explicit Type Aliases,613,Accepted
Parameter Specification Variables,612,Accepted
Flexible function and variable annotations,593,Accepted
Adding a final qualifier to typing,591,Accepted
Vectorcall: a fast calling protocol for CPython,590,Accepted
TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,589,Accepted
Literal Types,586,Accepted
Python Runtime Audit Hooks,578,Accepted
Python 3.11 Release Schedule,664,Active
Postponed Evaluation of Annotations,563,Accepted
Python 3.13 Release Schedule,719,Active
Python 3.10 Release Schedule,619,Active
Python 3.12 Release Schedule,693,Active
Unicode-related Security Considerations for Python,672,Active
Structural Pattern Matching: Tutorial,636,Final
Structural Pattern Matching: Motivation and Rationale,635,Final
Isolating Extension Modules,630,Final
Reducing CPython’s Feature Delivery Latency,607,Final
Annual Release Cycle for Python,602,Accepted
Python 3.9 Release Schedule,596,Active
Refactoring C functions and methods,579,Final
Python 3.8 Release Schedule,569,Active
The Theory of Type Hints,483,Final
Literature Overview for Type Hints,482,Final
Notation For Positional-Only Parameters,457,Final
Python registration in the Windows registry,514,Active
API for Cryptographic Hash Functions v2.0,452,Final
IDLE Enhancement Exception for All Branches,434,Active
Migrating to Python 3 as the default online documentation,430,Final
Pure Python/C Accelerator Module Compatibility Requirements,399,Final
Docstring Conventions,257,Active
The “python” Command on Unix-Like Systems,394,Active
Backward Compatibility for the Python 2 Standard Library,291,Final
Code Migration and Modernization,290,Active
Python Web Server Gateway Interface v1.0,333,Final
reStructuredText Docstring Format,287,Active
API for Block Encryption Algorithms v1.0,272,Final
Python Database API Specification v2.0,249,Final
API for Cryptographic Hash Functions,247,Final
Python Database API Specification v1.0,248,Final
Doing Python Releases 101,101,Active
The Zen of Python,20,Active
PEP Infrastructure Process,676,Active
Python Packaging Authority (PyPA) Governance,609,Active
Using GitHub Issues for CPython,581,Accepted
Style Guide for Python Code,8,Active
Backwards Compatibility Policy,387,Active
Sample reStructuredText PEP Template,12,Active
Python Language Governance,13,Active
CPython platform support,11,Active
Voting Guidelines,10,Active
Style Guide for C Code,7,Active
Bug Fix Releases,6,Active
Guidelines for Language Evolution,5,Active
Deprecation of Standard Modules,4,Active
Procedure for Adding New Modules,2,Active
name,number,status
PEP Purpose and Guidelines,1,Active
Core support for typing module and generic types,560,Accepted
2024 Term Steering Council election,8105,Active
Postponed Evaluation of Annotations,563,Accepted
Extending the Repository API to Mitigate Dependency Confusion Attacks,708,Provisional
Secure PyPI downloads with signed repository metadata,458,Accepted
2023 Term Steering Council election,8104,Active
Protocols: Structural subtyping (static duck typing),544,Accepted
2022 Term Steering Council election,8103,Final
2021 Term Steering Council election,8102,Final
January 2019 Steering Council election,8100,Final
Python Language Governance Proposal Overview,8000,Final
2020 Term Steering Council election,8101,Final
The Steering Council Model,8016,Accepted
Open Source Governance Survey,8002,Final
Python Web Server Gateway Interface v1.0.1,3333,Final
The Commons Governance Model,8014,Rejected
The External Council Governance Model,8013,Rejected
The Technical Leader Governance Model,8010,Rejected
Python Governance Model Lead by Trio of Pythonistas,8011,Rejected
Asynchronous IO support,3153,Superseded
The Community Governance Model,8012,Rejected
Organization of the Python community,8015,Rejected
Cofunctions,3152,Rejected
Merging Unladen Swallow into CPython,3146,Withdrawn
Add a “while” clause to generator expressions,3142,Rejected
Asynchronous I/O For subprocess.Popen,3145,Withdrawn
"str(container) should call str(item), not repr(item)",3140,Rejected
Cleaning out sys and the “interpreter” module,3139,Rejected
Labeled break and continue,3136,Rejected
Access to Current Module/Class/Function,3130,Rejected
Introducing Roles,3133,Rejected
BList: A Faster List-like Type,3128,Rejected
Remove Implicit String Concatenation,3126,Rejected
Remove Backslash Continuation,3125,Rejected
Postfix type declarations,3117,Rejected
A Switch/Case Statement,3103,Rejected
Delineation of the main module,3122,Rejected
Procedure for reviewing and improving standard library modules,3001,Withdrawn
IEEE 754 Floating Point Special Values,754,Rejected
Dependency specification for single-file scripts,722,Rejected
Require virtual environments by default for package installers,704,Withdrawn
Callable Modules,713,Rejected
A simplified signature for __exit__ and __aexit__,707,Rejected
Callable Type Syntax,677,Rejected
Reject Foolish Indentation,666,Rejected
Lazy Imports,690,Rejected
Robust Stack Overflow Handling,651,Rejected
Editable installs via virtual wheels,662,Rejected
"Standardizing Enum str(), repr(), and format() behaviors",663,Rejected
A file format to list Python dependencies for reproducibility of an application,665,Rejected
Extensible customizations of the interpreter at startup,648,Rejected
Allow writing optional types as,645,Withdrawn
Specifying Installer Requirements for Python Projects,650,Withdrawn
Explicit Pattern Syntax for Structural Pattern Matching,642,Rejected
Using an underscore in the version portion of Python 3.10 compatibility tags,641,Rejected
Unused variable syntax,640,Rejected
Support for indexing with keyword arguments,637,Rejected
Dependency specification in pyproject.toml based on PEP 508,631,Superseded
Dependency specification in pyproject.toml using an exploded TOML table,633,Rejected
Structural Pattern Matching,622,Superseded
Hide implementation details from the C API,620,Withdrawn
The one million limit,611,Withdrawn
Python Compatibility Version,606,Rejected
Coordinated Python release,608,Rejected
A rolling feature release stream for CPython,605,Rejected
Forbid return/break/continue breaking out of finally,601,Rejected
